DATE,LFWA64TTUSM647S
1977-01-01,135148463.507095
1977-02-01,135355227.197205
1977-03-01,135573725.886222
1977-04-01,135836896.28586498
1977-05-01,136137486.865123
1977-06-01,136341479.092423
1977-07-01,136562319.639036
1977-08-01,136725903.153684
1977-09-01,136844283.042607
1977-10-01,137169835.718364
1977-11-01,137345736.186953
1977-12-01,137493054.883756
1978-01-01,137667862.835066
1978-02-01,137858320.7936
1978-03-01,138032891.693531
1978-04-01,138099368.816509
1978-05-01,138355008.46809202
1978-06-01,138708858.952674
1978-07-01,138836632.04204398
1978-08-01,138962522.467825
1978-09-01,139110495.170385
1978-10-01,139333626.614239
1978-11-01,139567460.824063
1978-12-01,139781491.665563
1979-01-01,140076446.274088
1979-02-01,140269648.86768597
1979-03-01,140426042.29865298
1979-04-01,140458749.03653002
1979-05-01,140671503.731673
1979-06-01,141097982.076655
1979-07-01,141197059.223538
1979-08-01,141326837.89058098
1979-09-01,141494238.81424698
1979-10-01,141726981.534439
1979-11-01,141942759.601551
1979-12-01,142149734.83208898
1980-01-01,142414982.58571503
1980-02-01,142588687.632532
1980-03-01,142734510.220197
1980-04-01,142854197.307577
1980-05-01,143177921.454425
1980-06-01,143453128.709444
1980-07-01,143605578.601052
1980-08-01,143834877.85099
1980-09-01,143916179.304155
1980-10-01,144018918.81210402
1980-11-01,144161897.19878802
1980-12-01,144230258.383649
1981-01-01,144341131.108668
1981-02-01,144463081.315081
1981-03-01,144642002.390546
1981-04-01,144817808.47526798
1981-05-01,145057160.825337
1981-06-01,145431541.73381197
1981-07-01,145508413.560662
1981-08-01,145602997.17770702
1981-09-01,145653190.009363
1981-10-01,145823678.261372
1981-11-01,145975522.435013
1981-12-01,146087521.160482
1982-01-01,145923615.310155
1982-02-01,146007106.549479
1982-03-01,146184972.37785
1982-04-01,146501213.485802
1982-05-01,146762944.115989
1982-06-01,147006721.885672
1982-07-01,147117170.478702
1982-08-01,147268412.073718
1982-09-01,147406215.956682
1982-10-01,147595558.22921202
1982-11-01,147633559.684573
1982-12-01,147746799.42228702
1983-01-01,147216746.91387498
1983-02-01,147310227.58366302
1983-03-01,147605556.569231
1983-04-01,147928058.885193
1983-05-01,148188984.541802
1983-06-01,148343265.095317
1983-07-01,148517628.10816
1983-08-01,148637849.742785
1983-09-01,148752549.904194
1983-10-01,148875844.100085
1983-11-01,148931322.747494
1983-12-01,149073207.203412
1984-01-01,149115149.780317
1984-02-01,149253570.329002
1984-03-01,149392957.605773
1984-04-01,149612026.953162
1984-05-01,149682568.769674
1984-06-01,149983954.68863901
1984-07-01,150034711.75850102
1984-08-01,150112417.218407
1984-09-01,150284219.173066
1984-10-01,150369257.848784
1984-11-01,150522948.672905
1984-12-01,150717840.761681
1985-01-01,150503455.50809
1985-02-01,150617159.663825
1985-03-01,150761785.685604
1985-04-01,150916825.75628498
1985-05-01,150978502.005958
1985-06-01,151248258.728529
1985-07-01,151254401.976876
1985-08-01,151357717.228444
1985-09-01,151484026.816634
1985-10-01,151620334.386314
1985-11-01,151788793.953435
1985-12-01,151945331.033716
1986-01-01,152380804.40107402
1986-02-01,152466390.937135
1986-03-01,152667337.7574
1986-04-01,152696332.853919
1986-05-01,152879204.781776
1986-06-01,153013390.174998
1986-07-01,153103452.267106
1986-08-01,153273936.11565402
1986-09-01,153434751.683322
1986-10-01,153555145.101426
1986-11-01,153740534.8105
1986-12-01,153834513.27564
1987-01-01,153895099.086553
1987-02-01,154093810.74566302
1987-03-01,154163511.378869
1987-04-01,154360543.273398
1987-05-01,154502762.835334
1987-06-01,154617846.961102
1987-07-01,154700814.32258698
1987-08-01,154804892.224012
1987-09-01,154936478.872345
1987-10-01,155023626.43862098
1987-11-01,155193845.20007202
1987-12-01,155283592.161124
1988-01-01,155405499.717797
1988-02-01,155543524.213903
1988-03-01,155608252.800733
1988-04-01,155661020.73694202
1988-05-01,155806540.87301
1988-06-01,155996461.230791
1988-07-01,156093824.953579
1988-08-01,156153594.078712
1988-09-01,156281588.55699
1988-10-01,156366177.17182902
1988-11-01,156458352.546859
1988-12-01,156556433.951801
1989-01-01,156741761.57858
1989-02-01,156874796.782476
1989-03-01,156971674.944904
1989-04-01,156903015.205145
1989-05-01,156981557.858351
1989-06-01,157083518.079355
1989-07-01,157149610.92299798
1989-08-01,157271995.106033
1989-09-01,157512474.016301
1989-10-01,157557079.396841
1989-11-01,157682258.77508098
1989-12-01,157826481.270022
1990-01-01,159328624.277926
1990-02-01,159504026.92569998
1990-03-01,159561632.79069898
1990-04-01,159630659.710627
1990-05-01,159654461.82565302
1990-06-01,159779540.529983
1990-07-01,159817109.076792
1990-08-01,159973207.61305502
1990-09-01,160245355.451913
1990-10-01,160333494.447519
