Month		1983		1984		1985		1986		1987		1988		1989		1990		1991		1992		1993		1994		1995		1996		1997		1998		1999		2000		2001		2002		2003		2004		2005		2006		2007		2008		2009		2010		2011		2012		2013		2014		2015
January		$39.9 		$42.7 		$50.4 		$47.3 		$64.2 		$60.6 		$68.3 		$70.3 		$80.0 		$75.5 		$94.7 		$103.1 		$111.5 		$103.8 		$101.4 		$105.2 		$115.9 		$133.9 		$132.9 		$134.4 		$147.0 		$151.8 		$154.5 		$165.6 		$162.7 		$168.0 		$161.6 		$157.0 		$189.5 		$197.1 		$204.6 		$190.9 		$0.0 
February		$34.2 		$32.2 		$34.7 		$34.3 		$39.7 		$46.0 		$41.3 		$52.5 		$51.6 		$55.7 		$53.3 		$66.2 		$69.8 		$95.8 		$92.2 		$105.4 		$79.8 		$101.0 		$114.2 		$118.6 		$116.5 		$115.4 		$113.1 		$123.6 		$129.7 		$129.8 		$131.8 		$115.9 		$143.5 		$160.3 		$166.2 		$156.5 		$0.0 
March		$33.4 		$38.0 		$35.3 		$38.0 		$53.9 		$54.7 		$61.3 		$59.7 		$61.8 		$62.4 		$96.9 		$95.8 		$101.4 		$91.5 		$107.1 		$119.7 		$139.4 		$122.7 		$105.8 		$110.7 		$116.6 		$124.2 		$137.2 		$140.0 		$140.5 		$135.4 		$129.3 		$133.7 		$157.8 		$167.3 		$162.2 		$162.3 		$0.0 
April		$38.9 		$31.4 		$35.9 		$38.0 		$50.5 		$54.5 		$51.3 		$53.8 		$55.9 		$65.2 		$84.5 		$90.7 		$86.2 		$90.1 		$90.4 		$82.8 		$123.1 		$109.9 		$116.6 		$116.1 		$129.1 		$136.4 		$132.2 		$143.4 		$141.7 		$140.8 		$131.7 		$144.6 		$166.8 		$182.3 		$182.8 		$175.9 		$0.0 
May		$47.1 		$44.2 		$45.3 		$42.0 		$53.9 		$56.2 		$63.5 		$64.7 		$70.3 		$67.7 		$82.8 		$96.5 		$103.9 		$107.6 		$115.1 		$126.7 		$100.7 		$126.5 		$125.2 		$128.1 		$128.2 		$131.8 		$143.7 		$147.0 		$150.0 		$138.7 		$134.5 		$122.7 	*	$160.9 		$175.6 		$181.5 		$172.9 		$0.0 
June		$40.8 		$42.6 		$40.4 		$42.2 		$59.2 		$63.8 		$64.2 		$66.4 		$64.6 		$71.0 		$91.4 		$95.3 		$98.5 		$98.2 		$103.7 		$129.3 		$130.0 		$119.5 		$113.0 		$120.5 		$135.6 		$133.0 		$139.2 		$150.9 		$150.8 		$146.6 		$137.5 		$134.3 	*	$166.8 		$188.4 		$187.6 		$181.5 		$0.0 
July		$36.6 		$41.1 		$41.2 		$43.4 		$59.5 		$57.3 		$56.9 		$64.4 		$68.8 		$77.5 		$91.8 		$100.5 		$94.4 		$108.3 		$105.7 		$126.1 		$127.7 		$130.1 		$130.0 		$130.0 		$139.2 		$143.9 		$155.4 		$166.7 		$142.6 	 	$148.7 		$146.3 		$145.7 		$183.7 		$184.2 		$193.4 		$183.9 		$0.0 
August		$39.8 		$41.2 		$44.9 		$53.1 		$57.1 		$65.4 		$65.9 		$68.1 		$71.6 		$88.3 		$92.6 		$95.8 		$104.5 		$108.1 		$129.3 		$108.5 		$117.9 		$120.9 		$121.4 		$135.0 		$140.5 		$137.9 		$144.3 		$144.3 		$142.8 	 	$149.6 		$140.4 		$168.7 	 	$177.2 		$190.4 		$173.3 		$181.6 		$0.0 
September		$38.8 		$37.8 		$38.6 		$54.2 		$55.8 		$61.3 		$60.7 		$57.9 		$62.3 		$84.8 		$88.7 		$97.0 		$96.8 		$91.5 		$89.9 		$118.9 		$118.2 		$120.2 		$121.3 		$133.5 		$142.1 		$135.1 		$140.6 		$144.8 		$141.0 	 	$142.7 		$141.8 		$167.0 	 	$176.1 		$180.5 		$173.7 		$180.5 		$0.0 
October		$37.6 		$41.8 		$44.5 		$56.0 		$57.3 		$55.2 		$57.7 		$66.9 		$66.4 		$79.6 		$91.1 		$96.0 		$96.1 		$105.3 		$128.6 		$118.9 		$118.5 		$109.7 		$125.4 		$136.1 		$132.2 		$137.8 		$142.5 		$147.7 		$143.7 	 	$138.9 		$137.9 		$175.4 	 	$178.1 		$182.2 		$174.0 		$181.5 		$0.0 
November		$35.0 		$40.7 		$32.3 		$37.8 		$52.6 		$58.1 		$58.4 		$65.0 		$64.9 		$69.5 		$84.1 		$95.1 		$94.6 		$84.0 		$69.8 		$100.7 		$117.9 		$116.4 		$120.4 		$125.7 		$118.3 		$127.2 		$137.4 		$136.3 		$141.2 		$133.5 		$131.9 		$153.1 	*	$172.3 		$177.1 		$171.7 		$0.0 		$0.0 
December		$39.6 		$34.0 		$46.1 		$71.7 		$64.9 		$61.7 		$64.6 		$56.3 		$69.7 		$111.2 		$107.8 		$105.0 		$106.3 		$127.9 		$159.1 		$136.3 		$126.6 		$118.0 		$123.7 		$134.5 		$147.1 		$145.3 		$145.2 		$151.6 		$140.7 		$149.6 		$145.5 		$170.2 	*	$178.0 		$184.6 		$176.1 		$0.0 		$0.0 
